Count,Price
"Albany",280000
"Allegany",90000
"Broome",150000
"Cattaraugus",143889
"Cayuga",170000
"Chautauqua",128000
"Chemung",130950
"Chenango",129200
"Clinton",190000
"Columbia",432000
"Cortland",161000
"Delaware",200000
"Dutchess",420000
"Erie",242000
"Essex",257000
"Franklin",143000
"Fulton",148700
"Genesee",169900
"Greene",310750
"Hamilton",250000
"Herkimer",139000
"Jefferson",184000
"Lewis",129000
"Livingston",194585
"Madison",190000
"Monroe",225000
"Montgomery",146000
"Nassau",700000
"Niagara",180000
"Oneida",165000
"Onondaga",211200
"Ontario",285000
"Orange",420490
"Orleans",150000
"Oswego",143100
"Otsego",180000
"Putnam",485000
"Rensselaer",245000
"Rockland",670000
"StLawrence",107000
"Saratoga",390000
"Schenectady",237500
"Schoharie",195500
"Schuyler",200000
"Seneca",156250
"Steuben",143250
"Suffolk",580000
"Sullivan",250000
"Tioga",153500
"Tompkins",312500
"Ulster",376500
"Warren",285000
"Washington",190550
"Wayne",196000
"Westchester",810000
"Wyoming",150000
"Yates",209000
